Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.57,43.96,KING CITY NORTH,6154150,2023-10-19,2023,10,19,,14.5,,6.6,,10.6,,7.4,,0.0,,,,,,0.5,,,,19.0,,32.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-18,2023,10,18,,13.5,,5.8,,9.6,,8.4,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-17,2023,10,17,,14.7,,4.2,,9.5,,8.5,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-16,2023,10,16,,9.2,,6.4,,7.8,,10.2,,0.0,,,,,,0.4,,,,35.0,,33.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-15,2023,10,15,,8.0,,5.4,,6.7,,11.3,,0.0,,,,,,1.1,,,,33.0,,33.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-14,2023,10,14,,13.0,,6.8,,9.9,,8.1,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-13,2023,10,13,,13.2,,3.8,,8.5,,9.5,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-12,2023,10,12,,13.0,,4.2,,8.6,,9.4,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-11,2023,10,11,,12.4,,5.7,,9.1,,8.9,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-10,2023,10,10,,11.0,,5.2,,8.1,,9.9,,0.0,,,,,,2.1,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-09,2023,10,9,,8.9,,5.9,,7.4,,10.6,,0.0,,,,,,1.0,,,,24.0,,39.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-08,2023,10,8,,9.4,,4.1,,6.7,,11.3,,0.0,,,,,,3.7,,,,30.0,,40.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-07,2023,10,7,,13.2,,6.4,,9.8,,8.2,,0.0,,,,,,0.4,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-06,2023,10,6,,20.8,,9.9,,15.4,,2.6,,0.0,,,,,,8.8,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-05,2023,10,5,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-79.57,43.96,KING CITY NORTH,6154150,2023-10-04,2023,10,4,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-79.57,43.96,KING CITY NORTH,6154150,2023-10-03,2023,10,3,,28.9,,17.5,,23.2,,0.0,,5.2,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-02,2023,10,2,,27.0,,13.7,,20.3,,0.0,,2.3,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-10-01,2023,10,1,,22.9,,12.8,,17.9,,0.1,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-30,2023,9,30,,23.7,,11.3,,17.5,,0.5,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-29,2023,9,29,,20.3,,11.0,,15.7,,2.3,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-28,2023,9,28,,18.0,,12.2,,15.1,,2.9,,0.0,,,,,,0.1,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-27,2023,9,27,,18.3,,11.4,,14.9,,3.1,,0.0,,,,,,0.0,,,,12.0,,37.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-26,2023,9,26,,18.4,,12.4,,15.4,,2.6,,0.0,,,,,,0.0,,,,11.0,,35.0,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-25,2023,9,25,,21.4,,11.4,,16.4,,1.6,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-24,2023,9,24,,22.5,,7.8,,15.1,,2.9,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-23,2023,9,23,,20.5,,11.1,,15.8,,2.2,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-22,2023,9,22,,20.3,,12.1,,16.2,,1.8,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-21,2023,9,21,,21.5,,11.6,,16.6,,1.4,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-20,2023,9,20,,19.0,,5.0,,12.0,,6.0,,0.0,,,,,,0.0,,,,,,,
-79.57,43.96,KING CITY NORTH,6154150,2023-09-19,2023,9,19,,18.1,,7.7,,12.9,,5.1,,0.0,,,,,,0.0,,,,,,,
